name,rating,reviews,price,category,status,notes
The London Fish (Windjammer Restaurant),4.4,912,,Fish & Chips,,
Spice of Malabar Restaurant,4.7,454,$10-30,South Indian,,
Tandoori Grill Indian Cuisine,4.6,4542,$20-70,Indian,,
DHABA DOSA (Take-out only),4.3,1275,,,Temporarily closed,Alcohol served
Maple Leaf Pizza,4.7,71,$10-20,Pizza,,
Hashtag Donair,4.5,885,$10-20,Restaurant,,
Gen Z Burger,4.7,137,$10-20,Fast Food,,
Elena's Cafe,4.3,589,$10-20,Coffee shop,,
Donair Togo,4.9,476,$10-20,Restaurant,,
Donair Hut,4.4,695,$10-20,Restaurant,,
Cukkoo's by Chef Fatima,4.5,118,$20-30,Pakistani,,
Chili House Restaurant,4.1,1091,$20-30,Asian Fusion,,
Chaiiwala Of London - Langley,4.3,882,$10-20,Cafe,,
Cazba Persian Grill,4.3,208,$10-20,Persian,,
Avishan,4.5,1355,$20-30,Persian,,
Better Call Pizza,5.0,56,,,Temporarily closed,
Abu's Kitchen,4.6,593,$10-20,Takeout Restaurant,,
AlBasha Original,4.7,521,$10-20,Middle Eastern,,
Chai Sutta Bar,4.6,533,,,Permanently closed,
Khan Sahab Kitchen,4.8,197,$10-20,Halal,,matches GSC query 'khansahab kitchen' (34 impr)
The Zaiqa Restaurant,4.4,4597,$10-30,Halal,,verified halal certified/muslim owned per note
Tandoori Palace,4.2,726,$10-20,Indian,,Muslim owned; no alcohol; suppliers Wescadia and Meadow Valley Meats
Anatolia's Gate Restaurant,4.1,1268,$20-30,Halal,,
Dewan-E-Khass Restaurant,4.0,1541,$20-30,Pakistani,,
Anar Persian Cuisine,4.5,865,$20-30,Persian,,
Madina Restaurant,3.8,412,,,Permanently closed,
Apna Chaat House,4.0,3922,$10-30,Indian,,vegetarian; chaat/snack
Lahori Restaurant,4.4,2477,$10-20,Pakistani,,
Safari Snack House,4.3,322,$10-20,East African,,
Yaas Grill House,4.1,2927,$10-20,Persian,,
Chicken World,4.5,2255,$10-20,Fast Food,,
Heirloom Restaurant,4.3,1701,,,Permanently closed,vegan/vegetarian; alcohol served
Chau Cafe,4.5,233,$10-20,Cafe,,vegan; Vietnamese cuisine
Shawarma Palace Surrey,4.0,1120,$10-20,Restaurant,,
Mehman Restaurant,4.6,2095,$20-30,Persian,,
Saravanaa Bhavan,4.5,8857,$10-30,Indian,,alcohol served; vegetarian; South Indian
Pizza Art- BURNABY,4.6,1650,$10-20,Pizza,,
Tamam To Go,4.7,68,,,Permanently closed,Persian cuisine
Eternal Abundance Organic Market & Eatery,4.4,600,$20-30,Vegan,,
Green Lettuce,4.1,1446,,,Permanently closed,alcohol served; supplier Shams Meat (unverified)
777 Pizza & Fritou Fried Chicken,4.1,828,$10-50,Fast Food,,
Pakwan House,4.2,870,$10-20,Pakistani,,
Xin Jiang Delicious Food,3.9,22,,,Temporarily closed,Chinese Halal
Hot Pan Pizza,4.3,1039,$10-20,Pizza,,
Taste of Lahore,4.1,1051,$10-20,Pakistani,,
Tamam: Fine Palestinian Cuisine,4.6,1658,$20-30,Palestinian restaurant,,
Silkway Halal Cuisine,4.0,764,$20-60,Halal,,
Los Amigos Taqueria,4.2,753,,,Temporarily closed,Mexican taco
King Kabob Restaurant,4.4,729,$20-30,Restaurant,,Iranian
Royal paan,3.9,1341,$10-20,Indian,,vegetarian
Mr. Shawarma,4.8,2692,$10-20,Middle Eastern,,
Barney's Pizza & Fried Chicken,4.3,519,,,Permanently closed,pizza; fried chicken
Zamzam Grill,4.7,1561,$10-20,Middle Eastern,,no alcohol on premises
Saba Foods Middle Eastern Yemeni Restaurant,4.8,4061,$20-40,Halal,,Yemeni cuisine
Central Cafe,3.5,28,,,Permanently closed,samosa/Indian dishes
